"FID" "IID" "O.HOM." "E.HOM." "N.NM." "F" "HET_RATE" "HET_DST"
916335 916335 63781 63640 64176 0.2564 0.00615494889055098 -4.45515632585055
466935 466935 63522 63600 64135 -0.1535 0.00955796367038279 3.43627548672736
39435 39435 63513 63620 64140 -0.1975 0.0097754911131899 3.94071143347973
416335 416335 63676 63570 64077 0.2059 0.00625809572857656 -4.2159636418264
376845 376845 63732 63810 64369 -0.1345 0.00989606798303531 4.22032354454032
814245 814245 63533 63640 64175 -0.209 0.0100038955979743 4.47037073089015
954345 954345 63541 63620 64143 -0.1571 0.00938527976552391 3.03582960315383
799265 799265 63621 63530 64038 0.1726 0.00651175864330554 -3.62773122895911
987065 987065 63672 63570 64089 0.197 0.00650657679164911 -3.639747700134
685865 685865 63705 63810 64372 -0.188 0.0103616479214565 5.2999816051312
735975 735975 63581 63660 64184 -0.1521 0.00939486476380406 3.05805676502212
387775 387775 63542 63620 64147 -0.1457 0.00943146211046503 3.14292429701401
103085 103085 63660 63740 64283 -0.158 0.00969152030863525 3.745987072505
150085 150085 63527 63610 64132 -0.1563 0.00943366805962702 3.14803978975212
563285 563285 63791 63840 64406 -0.08433 0.00954879980126075 3.41502490364306
506795 506795 63549 63620 64155 -0.1362 0.00944587327566051 3.17634311380963
855195 855195 63555 63650 64169 -0.1722 0.00956848322398666 3.46066983859903
963695 963695 63482 63590 64097 -0.2062 0.00959483283148977 3.52177334368263
